Date,Open,High,Low,Close,Adj Close,Volume
23-06-2020,43.700001,44.950001,42.900002,44.450001,42.532391,36865827
24-06-2020,44.400002,44.650002,42.700001,43.25,41.384163,40591791
25-06-2020,43.150002,44.599998,43.099998,44,42.101807,35938924
26-06-2020,44.450001,47.400002,44.299999,46.349998,44.350422,46055970
29-06-2020,46.450001,47.25,44.450001,44.849998,42.915134,29327965
30-06-2020,45.700001,45.849998,44.099998,44.849998,42.915134,26717326
01-07-2020,45,46.700001,44.049999,46.099998,44.111206,28893548
02-07-2020,46.650002,50.700001,45.75,49.799999,47.651588,112201519
03-07-2020,50.450001,51.200001,49.349998,49.900002,47.747276,62701725
06-07-2020,50.650002,50.900002,49.900002,50.349998,48.17786,33194342
07-07-2020,50.349998,51.200001,50,50.849998,48.656288,25556054
08-07-2020,50.849998,52.700001,50.700001,52.200001,49.948051,41927350
09-07-2020,52.450001,53.200001,52.099998,52.5,50.235107,26268273
10-07-2020,50.599998,52.450001,49.700001,50.299999,48.130016,53816347
13-07-2020,50.900002,51.099998,49.150002,49.650002,47.50806,23184293
14-07-2020,49.099998,49.099998,46.900002,48.150002,47.557446,29076620
15-07-2020,48.5,49,46.799999,47.150002,46.569752,18652944
16-07-2020,47,47.700001,45.950001,46.700001,46.12529,17980227
17-07-2020,47.200001,49.599998,47.200001,49.299999,48.693291,31130208
20-07-2020,50,50,48.75,49.049999,48.446369,16776010
21-07-2020,49.5,49.5,48.549999,48.849998,48.248829,11941105
22-07-2020,48.650002,51.450001,48.549999,50.049999,49.434063,30638769
23-07-2020,50,50.349998,49.549999,50,49.384678,18215827
24-07-2020,49.950001,50.400002,48.650002,48.900002,48.298218,15734602
27-07-2020,48.799999,50.400002,47.700001,49.5,48.890831,26232020
28-07-2020,49.650002,50.400002,48.549999,49.150002,48.545139,19972698
29-07-2020,49.25,50.349998,49.200001,49.75,49.137753,18443993
30-07-2020,49.75,50.25,47.599998,48,47.40929,23600645
31-07-2020,48.049999,49,47.5,48.700001,48.100677,19704630
03-08-2020,48.799999,49.5,48.349998,48.75,48.150059,10560743
04-08-2020,49.200001,50.450001,49.099998,49.700001,49.088371,25280637
05-08-2020,49.950001,49.950001,48.650002,48.950001,48.347599,14901694
06-08-2020,49,50.099998,48.5,49.400002,48.792065,22695057
07-08-2020,49.349998,50.599998,49.099998,49.700001,49.088371,20079095
10-08-2020,49.799999,51.900002,49.799999,51.450001,50.816833,27048138
11-08-2020,51.950001,52.599998,51.099998,51.900002,51.261295,20281106
12-08-2020,51.900002,53.599998,51.200001,52.950001,52.298374,26298038
13-08-2020,55,57.900002,52.549999,56.099998,55.409607,112756334
14-08-2020,56.450001,57.200001,54.5,54.950001,54.273762,39660917
17-08-2020,55.5,56.349998,54.849998,56.049999,55.360222,22574630
18-08-2020,56.200001,56.400002,55,55.650002,54.965149,24508088
19-08-2020,56,58.25,55.799999,56.700001,56.002224,48760656
20-08-2020,56.150002,62.299999,56,61.400002,60.644386,117113064
21-08-2020,62.5,63.400002,61.700001,61.950001,61.187614,64263094
24-08-2020,62.349998,62.700001,60.150002,60.900002,60.150539,36278735
25-08-2020,61,61.700001,59.049999,60,59.261612,45582317
26-08-2020,60.299999,63.25,60,62.650002,61.879002,73743638
27-08-2020,63.099998,63.25,61.349998,61.599998,60.841923,28622558
28-08-2020,62.099998,62.25,60.299999,61.200001,60.446846,21774977
31-08-2020,61.400002,61.75,57.900002,58.75,58.026997,36839728
01-09-2020,59.599998,60.450001,58.200001,59.5,58.767765,43683296
02-09-2020,59.650002,61.349998,58.849998,60.950001,60.199921,25823443
03-09-2020,60.950001,61.599998,59.900002,60.700001,59.952999,23071103
04-09-2020,60,60.25,58.200001,58.900002,58.175152,20139542
07-09-2020,58.950001,59.400002,56.099998,57.400002,56.693611,26138463
08-09-2020,57.700001,58.200001,54.650002,55.200001,54.520683,24213780
09-09-2020,54.049999,56.150002,52.5,55.650002,54.965149,36318169
10-09-2020,56.450001,57.200001,54.700001,55.450001,54.767609,30550597
11-09-2020,55,57.150002,54.799999,56.700001,56.002224,22160341
14-09-2020,56.900002,58.400002,56.450001,57.099998,56.397301,22921566
15-09-2020,57.450001,58.75,57.099998,57.75,57.039303,18732445
16-09-2020,58.049999,58.299999,56.549999,56.799999,56.100994,18216129
17-09-2020,57.349998,58.150002,56.349998,56.75,56.051609,27360333
18-09-2020,57.049999,57.349998,55.75,56.200001,55.508377,15697096
21-09-2020,56.049999,56.200001,52.5,53,52.347759,27253422
22-09-2020,53,53.549999,50.400002,51.450001,50.816833,34523774
23-09-2020,52.25,54.200001,51.349998,53.450001,52.792221,24481334
24-09-2020,52.599998,52.950001,50.099998,50.450001,49.82914,21625654
25-09-2020,51.049999,53.400002,50.700001,53.099998,52.446526,24165575
28-09-2020,53.599998,54.599998,53.349998,54.150002,53.483608,16189540
29-09-2020,54.5,54.650002,53.25,53.950001,53.286068,18384412
30-09-2020,53.799999,54,53,53.299999,52.644066,10804820
01-10-2020,53.5,54.650002,53.5,54.450001,53.779915,13913795
05-10-2020,54.5,55.150002,53.599998,53.849998,53.187298,13583076
06-10-2020,54.099998,54.75,53.799999,54.599998,53.928066,10850162
07-10-2020,54.700001,56.900002,54.349998,56.150002,55.458996,25064716
08-10-2020,56.049999,56.5,53.75,55,54.323147,16737366
09-10-2020,55,55.5,54.150002,54.450001,53.779915,10432260
12-10-2020,54.450001,55.049999,52.599998,52.849998,52.199604,12879607
13-10-2020,52.799999,55.099998,52.549999,54.049999,53.384834,18622520
14-10-2020,53.900002,54,52.25,52.950001,52.298374,15451124
15-10-2020,53.099998,54.75,52.700001,52.900002,52.248989,23963776
16-10-2020,53.549999,54.599998,52.299999,54.150002,53.483608,24636965
19-10-2020,54.349998,55.549999,53.900002,55.200001,54.520683,18875642
20-10-2020,55,56.150002,54.549999,54.75,54.076221,17720431
21-10-2020,54.849998,55.349998,53.200001,53.950001,53.286068,17054864
22-10-2020,53.900002,55.599998,53.450001,55.099998,54.421913,15185237
23-10-2020,55.099998,55.700001,54.700001,55.25,54.570068,13365938
26-10-2020,55.650002,55.700001,52.950001,53.900002,53.236683,20120597
27-10-2020,54.5,54.5,53,53.75,53.088528,13240998
28-10-2020,53.799999,54.099998,52.900002,53.099998,52.446526,13646853
29-10-2020,52.599998,53.099998,51.650002,52.099998,51.458832,15351350
30-10-2020,52.450001,52.849998,51.650002,52.150002,51.508221,12994219
02-11-2020,52.400002,52.900002,52,52.650002,52.002068,9575485
03-11-2020,52.700001,53.849998,52.650002,53.599998,52.940372,11671919
04-11-2020,53.25,53.950001,52.299999,53.299999,52.644066,13555398
05-11-2020,53.5,55.849998,53.5,55.349998,54.668835,22517409
06-11-2020,55.349998,56.75,54.5,54.700001,54.026836,21662709
09-11-2020,55.450001,55.599998,53.900002,54.950001,54.273762,22041528
10-11-2020,55.5,57.099998,55,56.700001,56.002224,23878927
11-11-2020,57.450001,58.5,56.700001,57.25,56.545456,40249499
